,area,eccentricity,centroid-0,centroid-1,mean_intensity,centroid_int,RNA,rep
32,4.388867397236725,0.45352250119269855,92.74944567627495,456.549889135255,9751.514412416851,12252.4,no,2
33,1.6543402605992088,0.5529092593361817,100.21764705882353,364.2823529411765,8065.7235294117645,9134.8,no,2
35,4.3596731573437975,0.5392460466753131,105.09821428571429,415.75223214285717,9689.042410714286,12217.8,no,2
43,0.8369015435972469,0.7013398733616799,119.84883720930233,211.45348837209303,7295.267441860465,8410.6,no,2
44,0.5741533845609019,0.5941209966705202,121.55932203389831,323.7457627118644,7411.779661016949,8199.2,no,2
45,0.44764501169155063,0.8737150992861248,126.45652173913044,62.91304347826087,6704.760869565217,6942.4,no,2
46,0.5644219712632594,0.6320235961905358,127.63793103448276,207.01724137931035,7226.5,7027.0,no,2
47,1.5667575409204273,0.5861323812179986,129.37888198757764,55.577639751552795,7574.83850931677,8224.0,no,2
49,3.9509537988428165,0.6237815751263308,132.99507389162562,223.3399014778325,9372.046798029556,10824.2,no,2
60,3.0848580153526424,0.6616866589975412,175.18927444794951,237.1198738170347,8401.769716088327,8874.8,no,2
62,4.661346969570712,0.3408941100811829,187.26304801670148,251.46346555323592,10324.67223382046,11684.8,no,2
64,5.478785686572674,0.46339760875343783,195.72113676731794,199.82238010657193,10106.488454706927,12102.8,no,2
65,2.0338653792072625,0.6085961759592895,195.51196172248802,463.7129186602871,8374.842105263158,10363.8,no,2
66,3.435188894067769,0.671092551523177,199.31161473087818,221.3512747875354,8558.637393767705,10775.2,no,2
68,1.1969638356100158,0.6669050502758879,205.6910569105691,184.71544715447155,8516.869918699187,10208.4,no,2
69,7.415336932803513,0.6357436025732947,210.11286089238845,118.68503937007874,9600.444881889764,12312.2,no,2
72,0.23355391914341772,0.6816991618970851,210.625,203.33333333333334,6252.75,5773.8,no,2
75,1.8197742866591298,0.49101324068489294,219.64171122994654,208.5614973262032,7677.358288770053,9092.8,no,2
78,4.5153757701060755,0.6783664520449476,228.75862068965517,93.22629310344827,9037.278017241379,10758.2,no,2
81,12.611911633744556,0.7940038925630809,231.4729938271605,362.7762345679012,10469.047067901234,13257.0,no,2
88,0.3795251186080538,0.766379403813485,240.94871794871796,194.02564102564102,6671.051282051282,6383.8,no,2
89,10.062281349762246,0.5383471775245177,245.20019342359768,270.4816247582205,10581.46324951644,11719.8,no,2
93,0.7103931707278955,0.8748301704886107,247.08219178082192,61.73972602739726,6991.232876712329,6726.0,no,2
95,0.7882444771090348,0.7118484632797851,246.69135802469137,193.08641975308643,7123.0,8996.6,no,2
97,1.6932659137897785,0.7591748521215321,252.07471264367817,55.37356321839081,7600.396551724138,9528.0,no,2
103,4.4375244637249365,0.6776858642358401,283.44736842105266,49.76973684210526,9084.03947368421,10182.2,no,2
104,2.0046711393143353,0.7642717796513706,289.1601941747573,67.0873786407767,8090.0873786407765,8025.4,no,2
106,0.3016738122269146,0.6450313958782015,305.19354838709677,171.16129032258064,6803.580645161291,6247.0,no,2
107,2.3939276712200317,0.5932844686033562,313.9227642276423,166.4430894308943,9842.516260162602,13364.2,no,2
112,1.8197742866591298,0.5716137015856235,325.24598930481284,115.79679144385027,9074.636363636364,9675.0,no,2
113,0.7006617574302532,0.45753108396868936,331.09722222222223,310.90277777777777,6886.361111111111,8056.4,no,2
115,2.6956014834469464,0.5257578981877704,338.2346570397112,119.91696750902527,9235.75451263538,8914.0,no,2
122,5.653951125930237,0.3285243191445594,355.5938037865749,276.95180722891564,11686.14974182444,13963.2,no,2
123,2.617750177065807,0.3617689607147325,359.6802973977695,164.4200743494424,9735.342007434945,12368.8,no,2
126,5.108991981262263,0.6508680628101062,387.95428571428573,322.872380952381,10033.346666666666,12166.6,no,2
128,4.6126899030825,0.27354799996179396,399.43037974683546,17.10126582278481,8795.398734177215,11231.4,no,2
136,0.4281821850962658,0.5688880523560594,429.65909090909093,428.8863636363636,8301.045454545454,9538.2,no,2
137,0.3016738122269146,0.6851281185581187,431.35483870967744,393.80645161290323,6229.258064516129,7859.8,no,2
138,7.580770958863433,0.7344750408024645,434.4634146341463,246.0423620025674,10716.71245186136,12579.6,no,2
142,0.408719358500981,0.5555414574948244,452.9047619047619,427.35714285714283,6761.214285714285,7140.8,no,2
144,0.9731413297642405,0.6255252630996835,461.13,255.46,8728.59,11788.2,no,2
146,6.082133311026503,0.39177079071567905,466.5072,41.016,9356.7952,11162.6,no,2
