,time,Cnorm_grn,Cnorm_red,NF_ratio,rep,im_nr,drop_id
24,63,0.3134252010255579,0.37637521713954836,0,2,2,7
25,66,0.35994223362222044,0.542713567839196,0,2,2,7
26,69,0.36045830002664536,0.6720575022461812,0,2,2,7
27,72,0.3382515988750046,0.6124328472755179,0,2,2,7
28,75,0.38414343558895575,0.8692836908134358,0,2,2,7
29,78,0.33663897431340895,0.9841671944268524,0,2,2,7
30,81,0.3440956720265449,0.9989651604001379,0,2,2,7
31,84,0.39320649289155424,0.44501773621412455,0,2,2,7
32,87,0.3497901679642185,0.49492635024549925,0,2,2,7
33,90,0.3691971169715391,1.3871635610766049,0,2,2,7
34,93,0.3473605957609813,1.1031390134529149,0,2,2,7
35,96,0.3322531793978276,1.0410790925812385,0,2,2,7
36,99,0.3359276645085551,0.6466643134486411,0,2,2,7
37,102,0.33307114287148754,0.644918444165621,0,2,2,7
38,105,0.35846605430133743,0.41677044416770437,0,2,2,7
39,108,0.3560587810166225,1.1647819063004847,0,2,2,7
0,-9,1.0460961057291331,10.488549618320603,0,2,2,12
1,-6,1.0595985389662863,2.889518413597734,0,2,2,12
2,-3,1.0092567673290567,-0.17266187050359716,0,2,2,12
3,0,0.0,0.0,0,2,2,12
4,3,0.10759696891857179,0.3282674772036476,0,2,2,12
5,6,0.18099418334939157,2.1857282502443796,0,2,2,12
6,9,0.19208980550841925,1.3485477178423233,0,2,2,12
7,12,0.1960912598281522,3.6338028169014085,0,2,2,12
8,15,0.22823515352354004,0.940991345397325,0,2,2,12
9,18,0.27377703264712,6.890459363957598,0,2,2,12
10,21,0.2587665421389223,0.7573739295908658,0,2,2,12
11,24,0.2671662499920075,3.0954478707782673,0,2,2,12
12,27,0.26467042327348966,4.741379310344828,0,2,2,12
13,30,0.2586978471368966,13.813953488372102,0,2,2,12
14,33,0.29806898988703756,27.200000000000006,0,2,2,12
15,36,0.2675662586215534,0.9506726457399103,0,2,2,12
16,39,0.255656998937468,0.8897715988083414,0,2,2,12
17,42,0.26402841526509563,0.9553641346906809,0,2,2,12
18,45,0.2977447268884099,2.534461910519951,0,2,2,12
19,48,0.24640135205307587,2.5046382189239336,0,2,2,12
20,51,0.275591449364634,1.4023437499999998,0,2,2,12
21,54,0.31246843703475363,1.0779342723004697,0,2,2,12
22,57,0.26500916366102933,1.546762589928057,0,2,2,12
